"x"
6
3
1
4
3
6
11
6
5
1
17
6
1
7
1
2
4
1
3
1
13
1
1
10
4
6
1
5
1
14
13
2
1
5
1
1
3
1
11
9
5
14
3
3
5
2
1
2
2
1
19
2
5
2
1
2
3
1
2
4
9
7
4
3
3
1
1
1
4
5
2
4
10
6
2
1
3
6
1
6
1
6
3
1
6
2
11
3
2
6
5
5
7
4
6
2
2
3
1
8
