"x"
785
533
98
1399
1892
954
1213
1583
1198
107
1668
551
190
1338
183
557
855
865
1382
1441
2047
558
1009
1531
832
1100
1217
1296
308
1650
1567
1100
464
539
1273
183
669
99
1394
1652
588
1433
520
510
1366
865
234
392
704
91
2111
480
953
508
211
337
1221
1597
265
1378
1636
860
1997
910
456
1080
97
205
588
1486
482
955
1017
1035
211
1552
543
1082
707
764
239
897
753
166
1267
1373
2094
553
367
1682
1142
757
1772
884
808
356
388
644
678
827
